Site;Chiton_F;Samp.time;Temp;Wt.level;Weight;Area;Cov.Flu;Cov.DeathCCAPey;Cov.Others;Cov.Asc;Cov.Bryo;Cov.Spong;F.sand;C.sand;Granule;Pebbles;Cobbles;Boulders;Rug.base;Bryo;Asci;Bival;Crabs;Shrimp;Barna;Worms;Spong;Urchins;Brittle;Coral;Zoanthus;Flatworm;Hermit;Gastro
Pitangui;0;6;29.9;28;3;175.21;73.93;10.71;15.36;0;0;0;0;0;1;0;0;0;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0
Pitangui;0;12;30;42;25;425.12;33.93;15;28.93;3.57;0;16.43;0;1;0;0;0;0;0;1;1;0;1;0;0;0;1;0;0;0;0;0;0;0
Pitangui;0;7;29;10;8;288.75;13.57;1.43;51.79;1.07;0;20.72;0;0;0;1;0;0;1;1;1;0;1;0;0;0;1;0;0;0;1;0;0;1
Pitangui;0;8;30;14;3;157.86;48.22;23.22;26.07;0;0;0;0;1;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0
Pitangui;2;6;30;9;8;304.82;45.36;18.22;32.5;0.36;0;1.79;0;1;0;0;0;0;1;0;1;1;0;0;0;0;1;0;1;0;0;0;0;1
Pitangui;0;7;29.9;13;11;458.33;21.07;14.29;37.5;5.36;0;11.43;0;1;0;1;0;0;1;1;1;1;0;0;0;1;1;0;0;0;1;1;0;1
Pitangui;0;5;29.5;66;3;131.27;58.58;35;4.64;1.07;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1
Pitangui;0;8;30;50;10.5;334.97;65;2.86;24.29;0.36;3.93;1.07;0;1;0;0;0;0;1;1;1;0;1;0;0;1;0;0;0;0;0;0;0;1
Pitangui;0;5;30;58;2.5;177.83;76.67;6.67;8.57;4.28;0;3.81;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1
Pitangui;0;6;30;62;6;314.34;42.15;20.72;20.36;12.5;2.86;0;1;0;0;0;0;0;1;1;1;0;1;0;0;1;0;0;1;1;0;0;0;1
Pitangui;0;6;29;51;9.9;225.21;41.79;10.72;46.43;0.72;0;0.36;0;1;0;0;1;0;1;1;1;0;0;0;0;0;1;0;0;0;0;0;1;1
Pitangui;1;6;29;79;13;342.24;49.29;4.64;17.5;8.22;0;20;1;0;0;0;0;0;0;1;1;0;1;0;0;0;1;0;0;0;0;0;0;0
Pitangui;0;7;28.8;86;10;387.42;68.57;1.43;10.36;18.57;0.36;0.72;1;0;0;1;0;0;1;1;1;1;1;0;0;0;1;0;0;0;0;0;0;1
Pitangui;1;5;28.5;59;1.5;128.81;24.65;23.57;26.07;0;17.86;7.86;1;1;0;0;0;0;1;1;0;0;0;0;0;0;1;0;1;0;0;0;0;1
Pitangui;0;6;28.5;78;8;222.59;54.29;1.07;8.57;16.79;0;18.93;1;0;0;0;1;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;1;1
Pitangui;3;9;29.8;44;2.5;124.7;19.65;38.93;26.07;15;0;0;0;0;0;0;1;0;1;1;1;0;1;0;0;0;0;0;0;0;0;1;0;1
Pitangui;0;10;28;20;7;259.69;9.65;2.86;30;40.36;0;17.14;0;1;0;0;0;0;1;0;1;0;1;1;0;0;1;0;0;0;0;0;0;0
Pitangui;0;9;28;72;5;143.59;32.5;20.71;10;21.07;15;0.36;1;0;0;1;0;0;1;1;1;1;0;0;0;0;1;0;0;0;0;0;1;1
Pitangui;0;6;27.5;9;4;169.09;31.79;11.43;54.64;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1
Pitangui;0;5;28;27;7.5;270.61;46.07;10.71;12.5;18.22;0;8.21;0;0;0;1;0;0;1;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0
Pitangui;2;7;28;54;4.5;138.32;42.86;20;7.62;23.81;1.9;2.86;0;1;0;0;0;0;1;1;1;1;1;0;0;0;0;0;1;0;0;0;0;1
Pitangui;0;10;28;58;6.5;280.17;60.36;9.64;9.29;17.5;0.36;1.79;0;1;0;0;0;0;1;1;1;0;0;0;0;0;1;0;1;0;0;0;0;1
Pitangui;0;4;26.8;1;4.5;183.5;42.5;18.21;34.64;2.86;0;1.07;0;0;0;0;1;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1
Pitangui;1;9;28;36;5;212.15;21.43;26.79;10.72;26.79;3.57;8.93;0;1;0;0;0;0;1;1;1;1;0;0;0;1;1;0;1;0;1;0;0;1
Pitangui;1;5;28;50;1.5;88.71;82.86;2.86;4.29;6.79;0;1.07;0;1;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0
Baia Formosa;0;6;30;19;10;317.83;77.15;11.78;3.22;1.79;4.64;1.43;1;0;0;0;1;0;1;1;1;0;1;0;0;0;1;0;0;0;0;0;0;1
Baia Formosa;1;6;30.5;8;3.5;111.26;78.93;0;18.22;0;0;1.07;1;0;0;0;0;0;1;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0
Baia Formosa;0;5;30.5;15;18;544.45;72.14;1.79;25.72;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Baia Formosa;0;5;30;21;2.5;153.23;65.72;6.78;26.79;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Baia Formosa;0;3;30.5;16;6.5;219.44;33.33;11.43;53.33;0;0;0;1;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0
Baia Formosa;1;5;30.8;24;12;429.64;58.93;0;20.72;12.86;0;6.43;1;0;0;0;0;0;1;1;1;0;1;0;0;0;1;0;0;0;0;0;0;0
Baia Formosa;0;4;30.1;34;10;491.69;52.5;14.29;32.5;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Baia Formosa;0;6;30.3;54;17;445.96;83.93;4.29;6.79;3.93;0.72;0;1;0;0;0;0;0;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;1
Baia Formosa;0;5;31;41;5;211.67;36.19;17.14;43.34;1.9;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Baia Formosa;0;6;31.1;38;8;357.48;69.52;10.95;19.52;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Baia Formosa;0;6;32;22;5;324.23;59.64;25.36;7.5;3.93;0;0;1;0;0;1;0;0;1;0;1;0;0;0;0;1;1;0;0;0;0;0;0;1
Baia Formosa;0;5;31.5;35;2.1;74.72;41.07;12.14;45.36;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1
Baia Formosa;0;5;34;11;4.5;301.75;86.79;7.5;3.22;1.43;0;0;1;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1
Baia Formosa;0;5;32.5;20;3;151.81;68.22;17.5;10.36;3.93;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1
Baia Formosa;1;9;32.5;39;6;232.58;64.65;11.07;16.43;4.64;0;2.5;1;0;0;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;0;0;0;0
Baia Formosa;0;6;30;14;5.2;207.42;29.65;20.71;42.86;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0
Baia Formosa;0;4;30.4;14;12;347.95;84.29;0;8.22;1.43;0;0.72;1;0;0;0;0;0;1;1;1;0;1;1;0;0;1;0;0;0;0;0;1;0
